date,value_mill_m3
1996-06-17,104.0554
1996-06-18,104.2107
1996-06-19,104.5222
1996-06-20,104.6775
1996-06-21,105.3
1996-06-22,105.6115
1996-06-23,105.9225
1996-06-24,106.2336
1996-06-25,106.3893
1996-06-26,106.5451
1996-06-27,106.7003
1996-06-28,106.7003
1996-06-29,106.8561
1996-06-30,106.8561
1996-07-01,107.0118
1996-07-02,107.1671
1996-07-03,107.1671
1996-07-04,107.3229
1996-07-05,107.7897
1996-07-06,107.9454
1996-07-07,108.1007
1996-07-08,108.4122
1996-07-09,108.7232
1996-07-10,108.879
1996-07-11,109.0342
1996-07-12,109.19
1996-07-13,109.3457
1996-07-14,109.3457
1996-07-15,109.5015
1996-07-16,109.5015
1996-07-17,109.5015
1996-07-18,109.5015
1996-07-19,109.5015
1996-07-20,109.5015
1996-07-21,109.5015
1996-07-22,109.5015
1996-07-23,109.5015
1996-07-24,109.5015
1996-07-25,109.5015
1996-07-26,109.5015
1996-07-27,109.3457
1996-07-28,109.3457
1996-07-29,109.19
1996-07-30,109.19
1996-07-31,109.0342
1996-08-01,109.0342
1996-08-02,109.0342
1996-08-03,109.0342
1996-08-04,108.879
1996-08-05,108.879
1996-08-06,108.879
1996-08-07,108.879
1996-08-08,108.879
1996-08-09,109.5015
1996-08-10,109.6568
1996-08-11,109.6568
1996-08-12,109.8125
1996-08-13,109.9683
1996-08-14,109.9683
1996-08-15,109.8125
1996-08-16,109.8125
1996-08-17,109.8125
1996-08-18,109.6568
1996-08-19,109.6568
1996-08-20,109.6568
1996-08-21,109.6568
1996-08-22,109.6568
1996-08-23,109.5015
1996-08-24,109.6568
1996-08-25,110.2793
1996-08-26,110.9018
1996-08-27,111.2129
1996-08-28,111.5239
1996-08-29,111.9907
1996-08-30,113.5468
1996-08-31,114.6361
1996-09-01,115.5697
1996-09-02,116.1922
1996-09-03,116.8142
1996-09-04,117.2815
1996-09-05,117.5925
1996-09-06,117.9036
1996-09-07,118.2151
1996-09-08,118.5261
1996-09-09,118.6818
1996-09-10,118.8371
1996-09-11,117.7483
1996-09-12,117.9036
1996-09-13,117.9036
1996-09-14,117.9036
1996-09-15,118.0593
1996-09-16,118.0593
1996-09-17,118.0593
1996-09-18,118.0593
1996-09-19,118.0593
1996-09-20,118.0593
1996-09-21,118.0593
1996-09-22,118.0593
1996-09-23,118.0593
1996-09-24,118.0593
1996-09-25,118.0593
1996-09-26,118.0593
1996-09-27,117.9036
1996-09-28,118.8371
1996-09-29,119.9264
1996-09-30,121.1715
1996-10-01,122.2603
1996-10-02,122.5718
1996-10-03,123.1939
1996-10-04,124.2832
1996-10-05,125.3763
1996-10-06,126.3156
1996-10-07,127.2549
1996-10-08,127.8812
1996-10-09,128.507
1996-10-10,128.9772
1996-10-11,129.2901
1996-10-12,129.9164
1996-10-13,130.5423
1996-10-14,131.1686
1996-10-15,131.6382
1996-10-16,132.2646
1996-10-17,133.6735
1996-10-18,135.2391
1996-10-19,135.8649
1996-10-20,136.9609
1996-10-21,138.6832
1996-10-22,139.7787
1996-10-23,140.8746
1996-10-24,141.6577
1996-10-25,142.1273
1996-10-26,142.5969
1996-10-27,143.8491
1996-10-28,145.7276
1996-10-29,147.2932
1996-10-30,148.7021
1996-10-31,149.7981
1996-11-01,150.4244
1996-11-02,150.8941
1996-11-03,152.3029
1996-11-04,154.4944
1996-11-05,156.06
1996-11-06,158.3464
1996-11-07,160.9593
1996-11-08,162.7554
1996-11-09,163.8986
1996-11-10,165.0418
1996-11-11,166.0216
1996-11-12,167.1643
1996-11-13,167.8176
1996-11-14,168.471
1996-11-15,169.2873
1996-11-16,170.1041
1996-11-17,170.4305
1996-11-18,170.9204
1996-11-19,171.2468
1996-11-20,170.7569
1996-11-21,170.1041
1996-11-22,169.1243
1996-11-23,168.471
