date,value,quality
2000-12-22 00:00:00+00:00,146.0,3
2000-12-23 00:00:00+00:00,144.0,3
2000-12-24 00:00:00+00:00,141.0,3
2000-12-25 00:00:00+00:00,137.0,3
2000-12-26 00:00:00+00:00,137.0,3
2000-12-27 00:00:00+00:00,135.0,3
2000-12-28 00:00:00+00:00,134.0,3
2000-12-29 00:00:00+00:00,129.0,3
2000-12-30 00:00:00+00:00,132.0,3
2000-12-31 00:00:00+00:00,134.0,3
2001-01-01 00:00:00+00:00,138.0,3
2001-01-02 00:00:00+00:00,134.0,3
2001-01-03 00:00:00+00:00,141.0,3
2001-01-04 00:00:00+00:00,152.0,3
2001-01-05 00:00:00+00:00,226.0,3
2001-01-06 00:00:00+00:00,255.0,3
2001-01-07 00:00:00+00:00,234.0,3
2001-01-08 00:00:00+00:00,213.0,3
2001-01-09 00:00:00+00:00,196.0,3
2001-01-10 00:00:00+00:00,183.0,3
2001-01-11 00:00:00+00:00,166.0,3
2001-01-12 00:00:00+00:00,159.0,3
2001-01-13 00:00:00+00:00,153.0,3
2001-01-14 00:00:00+00:00,149.0,3
2001-01-15 00:00:00+00:00,144.0,3
2001-01-16 00:00:00+00:00,141.0,3
2001-01-17 00:00:00+00:00,138.0,3
2001-01-18 00:00:00+00:00,134.0,3
2001-01-19 00:00:00+00:00,135.0,3
2001-01-20 00:00:00+00:00,132.0,3
2001-01-21 00:00:00+00:00,125.0,3
2001-01-22 00:00:00+00:00,125.0,3
2001-01-23 00:00:00+00:00,123.0,3
2001-01-24 00:00:00+00:00,153.0,3
2001-01-25 00:00:00+00:00,207.0,3
2001-01-26 00:00:00+00:00,202.0,3
2001-01-27 00:00:00+00:00,191.0,3
2001-01-28 00:00:00+00:00,185.0,3
2001-01-29 00:00:00+00:00,178.0,3
2001-01-30 00:00:00+00:00,169.0,3
2001-01-31 00:00:00+00:00,160.0,3
2001-02-01 00:00:00+00:00,154.0,3
2001-02-02 00:00:00+00:00,138.0,3
2001-02-03 00:00:00+00:00,124.0,3
2001-02-04 00:00:00+00:00,113.0,3
2001-02-05 00:00:00+00:00,116.0,3
2001-02-06 00:00:00+00:00,122.0,3
2001-02-07 00:00:00+00:00,136.0,3
2001-02-08 00:00:00+00:00,169.0,3
2001-02-09 00:00:00+00:00,157.0,3
2001-02-10 00:00:00+00:00,146.0,3
2001-02-11 00:00:00+00:00,157.0,3
2001-02-12 00:00:00+00:00,140.0,3
2001-02-13 00:00:00+00:00,141.0,3
2001-02-14 00:00:00+00:00,139.0,3
2001-02-15 00:00:00+00:00,138.0,3
2001-02-16 00:00:00+00:00,138.0,3
2001-02-17 00:00:00+00:00,137.0,3
2001-02-18 00:00:00+00:00,138.0,3
2001-02-19 00:00:00+00:00,133.0,3
2001-02-20 00:00:00+00:00,133.0,3
2001-02-21 00:00:00+00:00,133.0,3
2001-02-22 00:00:00+00:00,133.0,3
2001-02-23 00:00:00+00:00,133.0,3
2001-02-24 00:00:00+00:00,133.0,3
2001-02-25 00:00:00+00:00,132.0,3
2001-02-26 00:00:00+00:00,132.0,3
2001-02-27 00:00:00+00:00,132.0,3
2001-02-28 00:00:00+00:00,130.0,3
2001-03-01 00:00:00+00:00,129.0,3
2001-03-02 00:00:00+00:00,128.0,3
2001-03-03 00:00:00+00:00,127.0,3
2001-03-04 00:00:00+00:00,126.0,3
2001-03-05 00:00:00+00:00,124.0,3
2001-03-06 00:00:00+00:00,124.0,3
2001-03-07 00:00:00+00:00,125.0,3
